ID,smiles,pat,pat_enc,par3,umap1,umap2,pca1,pca2
1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,pc3,0,0,7.8222914,5.061347,11.276300099068662,-0.5112048772998956
2,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.5173316,5.3580823,8.853686157623697,0.7179733972638394
3,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.409232,5.5936923,7.129903238924541,0.9457559056371896
4,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.7125235,5.224576,10.830797317473468,-1.4251472644782637
5,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,pc3,0,0,6.963905,5.6829734,5.14846485430834,1.440105662680008
6,C1C2CC3CC1CC(P(C14CC5CC(CC(C5)C1)C4)C14CC5CC(CC(C5)C1)C4)(C2)C3,pc3,0,0,3.3629014,5.0117707,2.141281736073368,10.997790837970149
7,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,pc3,0,1,7.9408517,6.4336267,6.455143321074627,-0.4025919791735509
8,CC(C)(C)P(C(C)(C)C)C(C)(C)C,pc3,0,0,2.7342584,5.2156653,-6.09418923354941,10.955078986420707
9,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,pc3,0,1,5.2757573,8.545135,0.6881248834066207,6.17527137692167
10,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,pc3,0,0,3.2567744,5.64373,1.0751130339069446,5.853489272913001
11,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,pc3,0,0,2.814801,6.1250615,-2.06095982595973,4.26960976657385
12,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,pc3,0,0,2.917976,5.148084,-3.63534128866188,10.525301714537836
13,CC(C)(C)P(c1ccccc1)c1ccccc1,pc3,0,0,3.8862884,8.831663,-3.3998615036055195,5.401713974988693
14,CP(C(C)(C)C)C(C)(C)C,pc3,0,0,1.2225649,6.2693763,-9.219972455849756,7.586444507912136
15,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,pc3,0,1,5.4010205,8.489625,1.901138890631518,2.763259888949073
16,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,pc3,0,1,3.7584882,10.768854,-0.0313990795602527,1.104587597757403
17,c1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,3.7780836,9.419443,-4.314782340514058,5.046504009127733
18,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,pc3,0,1,4.371662,9.789636,-2.1535939448606034,4.388804457398145
19,c1ccc(CP(c2ccccc2)c2ccccc2)cc1,pc3,0,0,3.8270986,7.7232256,-1.911893847518705,0.7859826106196302
20,CCCCP(CCCC)CCCC,pc3,0,0,2.610859,6.391463,-4.292666050880715,-1.0922428692724675
21,CCP(CC)CC,pc3,0,0,0.7250535,6.268359,-12.417392065374951,3.426526869712545
22,CP(C)C,pc3,0,0,0.42932868,6.253584,-17.29877583467244,4.010951679355395
23,CC1(C)c2ccccc2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,pc3,0,1,5.2920384,9.226528,3.2345183792521905,0.0455184978825819
24,COc1ccc2ccccc2c1-c1ccccc1P(c1ccccc1)c1ccccc1,pc3,0,1,8.027943,6.3276997,7.996363388161808,-1.53163304791956
25,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,pc3,0,1,8.026744,5.4013734,9.927834091697328,-0.8093014789397213
26,COc1cccc(OC)c1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,pc3,0,1,8.459792,5.899623,10.460620203538497,-2.8749312016467914
27,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1C)c1ccccc1C,pc3,0,1,7.221539,5.371683,8.586598865374244,1.958045888816486
28,COc1cccc(OC)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,pc3,0,1,8.345237,5.9617233,9.082213516123028,-3.9513146463081954
29,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C(C)C)c1,pc3,0,1,8.49553,5.785817,13.839992301916135,-3.031386817237193
30,CC(C)(C)P(C1CCCCC1)C(C)(C)C,pc3,0,0,2.9299293,5.2492585,-3.372996618978318,8.276005822316105
31,CC(C)(C)P(c1ccccc1)C(C)(C)C,pc3,0,0,3.3060808,5.0859513,-3.1451717367173964,8.636583965814609
32,CC(C)(C)P(C1CCCCC1)C1CCCCC1,pc3,0,0,2.9651725,5.6061997,-2.5557329256619554,6.076114316337828
33,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,pc3,0,1,8.492743,5.816791,13.564769314362916,-3.476548488399205
34,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,pc3,0,1,8.415517,5.7995152,12.725690851802131,-5.775641611277271
35,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c(C(C)C)c1,pc3,0,1,8.414054,5.8088236,13.093228785293508,-4.755959582076313
36,CC(C)(C)P(c1ccccc1-c1ccc(-c2ccccc2)cc1)C(C)(C)C,pc3,0,0,5.694754,3.0958111,8.53672147093067,11.766005562943675
37,CC(C)(C)P(C(C)(C)C)[C@]1(C)CC1(c1ccccc1)c1ccccc1,pc3,0,0,5.63048,3.1903572,7.334645126526847,12.00685901601812
38,C[C@@]1(P(C2CCCCC2)C2CCCCC2)CC1(c1ccccc1)c1ccccc1,pc3,0,0,7.379547,5.7311687,6.745884445275001,2.117628069602548
39,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,pc3,0,0,7.472863,5.7792363,7.033613644324565,2.554092049584343
40,Cc1ccc(P(c2ccccc2)c2ccc(C)o2)o1,pc3,0,1,3.5474102,9.123414,-3.464151466123071,0.9895127477112916
41,CCCCP(CCCC)c1ccccc1-n1ccnc1,pc3,0,0,6.230973,6.111402,3.2629100034275247,-3.702852575982163
42,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,pc3,0,0,6.6075444,4.731776,4.222223150275631,6.965921364894496
43,CC(C)CP(CC(C)C)c1nccn1-c1ccccc1,pc3,0,0,6.4618835,5.9734344,1.9742393949525283,0.7764064118996445
44,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,pc3,0,0,6.8226147,5.80875,4.33887192440501,0.1526313393037878
45,CCP(CC)c1cccn1-c1ccccc1,pc3,0,0,6.4570274,5.8443213,-1.2616967084335804,-0.7513934440274118
46,CC(C)CP(CC(C)C)c1cccn1-c1ccccc1,pc3,0,0,6.51951,5.9280167,2.0416724399244224,-0.4839264404962798
47,CC(C)P(c1cccn1-c1ccccc1)C(C)C,pc3,0,0,6.617562,5.6646,1.1133891938656646,0.7619222068321946
48,CCCCP(CCCC)c1cccn1-c1ccccc1,pc3,0,0,6.390516,5.937147,2.262772363035264,-2.4546471893610877
49,CC(C)c1cc(C(C)C)c(P(c2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C(C)C)c1,pc3,0,1,4.9193587,3.879704,22.60203266449633,27.108339986024973
50,COc1cc(OC)c(P(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,pc3,0,1,5.400652,10.895705,10.739158659902328,1.6950035590120776
51,CC(C)c1cccc(C(C)C)c1P(c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,pc3,0,1,4.9201994,3.8645334,18.365587600589723,28.681200470615234
52,COc1cc(C)c(P(c2c(C)cc(OC)cc2C)c2c(C)cc(OC)cc2C)c(C)c1,pc3,0,1,4.947179,4.0114646,8.372855240281748,11.631959171925027
53,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,pc3,0,1,5.579853,8.272767,6.562446490168863,6.547741445385793
54,c1coc(P(c2ccco2)c2ccco2)c1,pc3,0,1,3.3532615,9.065139,-6.677510345819274,1.451584305054782
55,COc1ccc(P(c2ccc(OC)cc2C(C)C)c2ccc(OC)cc2C(C)C)c(C(C)C)c1,pc3,0,1,5.417424,10.786257,10.575309767564905,0.2141933525912658
56,COc1ccc(P(c2ccc(OC)cc2C)c2ccc(OC)cc2C)c(C)c1,pc3,0,1,5.357949,10.847214,5.250207725085496,1.010054704212232
57,CCN(CC)P(c1ccccc1)N(CC)CC,pcn,5,0,1.826225,3.9080675,-2.325915950638827,2.153809806553645
58,CC(C)N(C(C)C)P(c1ccccc1)N(C(C)C)C(C)C,pcn,5,0,2.073835,3.8378842,0.8208549464957194,5.115157982315255
59,CN(C)P(c1ccccc1)N(C)C,pcn,5,0,1.6347516,3.8293872,-5.585582350468128,2.6293345707543083
60,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,pc3,0,1,4.8216844,3.9850054,6.267132546688116,15.1705992664102
61,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,pc3,0,1,3.6755278,9.9376955,-3.564569937918818,4.102169810863971
62,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,pc3,0,1,4.7004232,10.955192,0.0744308742825588,0.6452743017246046
63,CC(C)c1ccccc1P(c1ccccc1C(C)C)c1ccccc1C(C)C,pc3,0,1,5.892452,5.2554493,5.822344427445757,6.2214228608889774
64,c1ccc(CP(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)cc1,pc3,0,0,3.3194506,5.498313,1.5112781468340202,5.538323612409948
65,c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,pc3,0,0,3.8016346,7.202269,0.0632655467487945,-0.1820257008160244
66,CCP(C1CCCCC1)C1CCCCC1,pc3,0,0,2.5372386,6.223349,-4.530155727860455,2.3631278633751704
67,Cc1ccccc1P(C1CCCCC1)C1CCCCC1,pc3,0,0,3.6008508,6.7264256,-0.4797019123464524,3.0957283181269566
68,c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,pc3,0,0,3.5679295,6.852412,-1.6805644228028505,2.9063375987840616
69,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,pc3,0,0,3.5274904,6.984701,2.0967357876231945,0.3387642976391719
70,C1CCC(P(C2CCCC2)C2CCCC2)C1,pc3,0,0,2.6149786,6.1910253,-4.4750697715875205,2.6544001090160454
71,CC(C)(C)P(c1ccc(C(F)(F)F)cc1)C(C)(C)C,pc3,0,0,3.5950198,5.149389,-0.6213307424559037,5.925982988159274
72,CCP(CC)c1ccccc1,pc3,0,0,2.4250987,7.831449,-7.620396961686858,1.5416784251846578
73,CCP(c1ccccc1)c1ccccc1,pc3,0,0,2.5886471,8.183243,-5.921875685974969,2.7009116823079995
74,CCCCn1nnc(P(CCCC)CCCC)c1-c1ccccc1,pc3,0,0,5.5675693,6.4440327,4.37174609620826,-6.250806362742788
75,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,po3,2,0,1.8176719,0.74525625,-2.0608216121682097,-8.45269754355298
76,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1ccccc1)c1ccccc1,pc3,0,1,8.027131,5.584675,9.758957645079542,-2.01824598328153
77,CC(C)P(c1ccccc1)C(C)C,pc3,0,0,2.9250422,7.6568213,-5.268565561616617,3.339627833800022
78,CC(C)P(C(C)C)C(C)(C)C,pc3,0,0,1.422851,6.101818,-7.511366901822813,6.929591521817116
79,CC(C)P(C(C)C)C(C)C,pc3,0,0,1.2918688,6.173728,-8.611543863335035,5.114177501319709
80,CP(C)c1ccccc1,pc3,0,0,2.24845,7.9683814,-9.23947665494968,1.8014370162028923
81,CP(c1ccccc1)c1ccccc1,pc3,0,0,2.406509,8.260423,-6.70740037281965,2.8301523402300157
82,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,pc3,0,1,4.4098916,9.797539,-1.7870046086695874,3.347323853737857
83,CCCP(CCC)CCC,pc3,0,0,2.2800603,6.3260283,-7.968632418523973,1.243774568366855
84,C=CCP(c1ccccc1)c1ccccc1,pc3,0,0,3.0517642,8.016106,-4.663442306737209,1.7238633489138948
85,CC(C)P(c1ccccc1)c1ccccc1,pc3,0,0,2.880129,8.196173,-4.717439350431873,3.207428489302846
86,C=Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,4.3862495,9.826583,-2.074217821067616,3.872405833279515
87,CCP(C(C)(C)C)C(C)(C)C,pc3,0,0,1.5161247,6.0462966,-7.667275856051814,8.001764409452647
88,CCCCP(C(C)(C)C)C(C)(C)C,pc3,0,0,2.832841,5.560597,-3.831268400046526,5.821516613753004
89,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,pc3,0,0,7.741505,4.407343,13.3612935089589,5.886774029764543
90,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,pc3,0,0,5.722265,3.181931,9.816658398681328,11.591087888841722
91,CC(=C(c1ccccc1)c1ccccc1)P(C(C)(C)C)C(C)(C)C,pc3,0,0,6.69246,4.6749077,7.230697952168928,5.790961995762667
92,COc1cccc(OC)c1-c1ccccc1P(C(C)(C)C)C(C)(C)C,pc3,0,0,5.5648637,3.2692409,7.544348860803465,11.724686343254245
93,CCCCP(CCCC)c1ccccc1-n1cccc1,pc3,0,0,6.159467,5.9659357,2.8436686299264187,-1.8709151069503736
94,CCCCP(CCCC)c1nccn1-c1ccccc1,pc3,0,0,6.4962196,6.011952,2.095764103749697,-1.0292256621336555
95,COc1ccccc1P(C)c1ccccc1,pc3,0,0,2.749025,8.228263,-4.755335781789899,1.218328184328342
99,FC(F)(F)P(c1ccccc1-c1ccccc1)C(F)(F)F,pc3,0,0,5.5701756,3.2582157,0.5468590752871992,4.654892398741178
100,COc1cccc(OC)c1-c1ccccc1P(C(F)(F)F)C(F)(F)F,pc3,0,0,5.5912156,3.2584317,4.0179895615641,3.791481183124453
101,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(F)(F)F)C(F)(F)F)c(C(C)C)c1,pc3,0,0,8.143114,5.318217,5.677997194414728,-4.24432582571551
102,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,pc3,0,0,7.856525,4.801578,14.181884818953918,-0.5893065944057051
103,COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(C)(C)C)C(C)(C)C,pc3,0,0,7.727505,4.476198,12.91572312499909,5.298068129241687
104,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,pc3,0,1,8.511561,5.781149,17.050540761187943,-3.797229772787482
105,COc1ccc(OC)c(P(C(F)(F)F)C(F)(F)F)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,pc3,0,0,8.165543,5.189525,9.83753021059754,-3.6236986265030144
106,COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(F)(F)F)C(F)(F)F,pc3,0,0,8.180998,5.235308,9.000391996283748,-3.8429449500794126
107,CC(C)=C(C)P(C1CCCCC1)C1CCCCC1,pc3,0,0,3.4642086,6.5900726,-0.9668972726282808,5.515354224620387
108,Cc1cccc(C)c1P(c1c(C)cccc1C)c1c(C)cccc1C,pc3,0,1,4.811672,3.9901054,4.434950879522246,15.900170594084166
109,CC(C)P(c1ccccc1-c1ccccc1)C(C)C,pc3,0,0,6.573085,5.5844436,2.2055221448058706,1.5485042636776234
110,C[Si](C)(C)P([Si](C)(C)C)[Si](C)(C)C,psi,7,0,1.1823982,7.1250973,-3.706914734383225,11.09159316633401
111,Cc1cc(C)c(CP(Cc2c(C)cc(C)cc2C)Cc2c(C)cc(C)cc2C)c(C)c1,pc3,0,0,5.913868,5.4004917,7.908729718028992,0.6864726291685496
113,CC(C)(c1ccccc1)P(C(C)(C)c1ccccc1)C(C)(C)c1ccccc1,pc3,0,0,5.977518,4.983723,7.808427381343478,7.738020946462233
114,Fc1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,3.7248015,9.966351,-3.4594529997171386,3.6144587446138527
115,N#Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,2.925604,10.938301,-0.2605903688524126,-1.3022549787439814
116,CN(C)c1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,3.8545709,10.569347,-0.1780875234776452,2.422258264283851
117,Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,4.1234565,9.706778,-3.133132395457262,4.344390972080553
118,Clc1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,4.0628395,9.765668,-2.726636066529696,3.5294661936550984
119,FC(F)(F)c1ccccc1P(c1ccccc1C(F)(F)F)c1ccccc1C(F)(F)F,pc3,0,1,5.7239146,8.11335,6.63121375300772,3.8507362826205873
120,Cc1cc(C(F)(F)F)ccc1P(c1ccc(C(F)(F)F)cc1C)c1ccc(C(F)(F)F)cc1C,pc3,0,1,4.146942,10.91709,5.251507380835643,1.4149639719055065
121,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2C(F)(F)F)c2ccc(C(F)(F)F)cc2C(F)(F)F)c(C(F)(F)F)c1,pc3,0,1,5.7789903,8.074893,8.750116233414712,4.1137268288347215
122,c1ccc(P(c2ccccc2)C23C4C5C6C2[Fe]56432789C3C2C7C8C39)cc1,pc3,0,0,4.4966073,9.206979,0.0985447025020947,2.1841021751044414
123,Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,pc3,0,1,3.3051972,10.495169,0.1799318883001948,5.023149999793465
124,CP(C)C(F)(F)F,pc3,0,0,0.16498777,5.9924345,-16.617700712221545,1.4002034042433933
125,Fc1c(F)c(F)c(P(c2ccccc2)c2ccccc2)c(F)c1F,pc3,0,1,3.1920652,10.361118,0.0851780509552063,3.0056291254729106
126,Clc1ccc(P(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,pc3,0,1,3.9802697,9.79097,-2.33508812183605,4.071423092920724
127,Cc1cc(C)c(P(c2ccccc2)c2ccccc2)c(C)c1,pc3,0,1,4.6006455,4.4586706,1.757249007348986,7.529037272860835
128,CN(C)P(N(C)C)N(C)C,pn3,4,0,0.25503722,3.819408,-9.78123016618158,5.27032188606
129,CN(C)P(c1ccccc1)c1ccccc1,pcn,5,0,1.9398415,3.4675791,-4.929088024314046,2.722069842362662
130,COc1ccccc1P(c1ccccc1)c1ccccc1,pc3,0,1,4.608385,8.708732,-1.8960967247355447,3.665263937867079
131,COc1ccc(P(c2ccccc2)c2ccccc2)cc1,pc3,0,1,4.2277493,10.174758,-1.6952153396354632,2.610395945267105
132,Fc1cccc(P(c2ccccc2)c2ccccc2)c1,pc3,0,1,3.731928,9.825099,-3.336673282531266,2.9754798286790454
133,Fc1cccc(P(c2cccc(F)c2)c2cccc(F)c2)c1,pc3,0,1,3.8011432,10.143253,-2.5129100689592883,1.0316773322515838
134,c1ccc(CP(Cc2ccccc2)c2ccccc2)cc1,pc3,0,0,4.007873,7.422037,-1.0067081981259245,-1.8788878189627591
135,C=CP(c1ccccc1)c1ccccc1,pc3,0,0,2.6245077,8.222555,-5.583254039517785,2.5450149524713312
136,C=CP(C=C)C=C,pc3,0,0,0.57670546,6.1368713,-12.09459087839314,2.319616017217398
137,N#CCCP(CCC#N)CCC#N,pc3,0,0,2.4625573,7.3081446,-2.9306901057086816,-9.41441261370338
138,COP(c1ccccc1)c1ccccc1,pco,1,0,1.4771924,2.8518357,-6.710231563264872,0.1020966510526774
139,CCOP(c1ccccc1)c1ccccc1,pco,1,0,1.7954935,2.5812943,-5.260950388747512,-0.1626998931696281
140,CC(C)OP(c1ccccc1)c1ccccc1,pco,1,0,1.9516617,2.6224148,-3.936272218861266,0.2784264384986586
141,c1ccc(OP(c2ccccc2)c2ccccc2)cc1,pco,1,0,2.052435,2.448405,-3.049880596828932,-2.3324205989390365
142,Clc1ccccc1OP(c1ccccc1)c1ccccc1,pco,1,0,2.1220946,2.4311228,-2.141493619078207,-2.228966343524675
143,COP(OC)c1ccccc1,pco,1,0,0.82087165,2.3791482,-8.809008284111494,-2.757695321091933
144,CCOP(OCC)c1ccccc1,pco,1,0,0.90773225,2.332242,-7.228126925905133,-2.017485718384372
145,c1ccc(OP(Oc2ccccc2)c2ccccc2)cc1,pco,1,0,1.4908084,1.9937111,-2.069586369937226,-4.254381170692735
146,CCCCOP(OCCCC)c1ccccc1,pco,1,0,0.6670481,1.8798832,-2.5409657396207432,-5.404221605322578
147,COP(OC)OC,po3,2,0,-0.8108647,3.2695246,-15.53043310502977,-2.808310153602009
148,CCOP(OCC)OCC,po3,2,0,-0.43380985,2.7932312,-11.427043529466609,-3.0160227513968128
149,CC(C)OP(OC(C)C)OC(C)C,po3,2,0,-0.5077393,2.1656413,-7.927498934151944,-3.784019816288249
150,CCCCOP(OCCCC)OCCCC,po3,2,0,-0.4550115,1.9124755,-4.769596415095612,-8.030599202248522
151,N#CCCOP(OCCC#N)OCCC#N,po3,2,0,-0.3033904,1.7231958,-2.4782051352894943,-12.594350952630636
152,Clc1ccc(OP(Oc2ccc(Cl)cc2)Oc2ccc(Cl)cc2)cc1,po3,2,0,1.9038225,0.66476685,0.3523724973020118,-11.19299081302825
153,N#Cc1ccc(OP(Oc2ccc(C#N)cc2)Oc2ccc(C#N)cc2)cc1,po3,2,0,3.203188,1.3456583,6.07698188863439,-22.8757509862848
154,ClCCP(c1ccccc1)c1ccccc1,pc3,0,0,3.338299,7.955403,-3.2992821104939147,-0.3262489056967171
155,COc1c(C)cc(P(c2ccccc2)c2ccccc2)cc1C,pc3,0,1,4.532326,9.937071,-0.1742010480788857,2.396433341738171
156,C12[C@H]3[C@H]4[C@@H]1[C@H]1[C@@H]2[C@@H]3P41,pc3,0,0,0.46712866,6.6836123,-17.50236113608552,-3.2053767006143272
157,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C2CCCC2)cc(C(C)(C)C)c1,pc3,0,0,5.9159966,9.528665,5.057644552465103,0.1238940910318308
158,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C2CCCCC2)cc(C(C)(C)C)c1,pc3,0,0,5.9680696,9.501347,6.125561933796912,0.3620417169354618
159,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(C3CCCC3)C3CCCC3)c2)c(C(C)C)c1,pc3,0,0,6.88337,9.589198,14.592240290867055,-5.395920453659876
160,c1ccc(P(C2CCCC2)C2CCCC2)cc1,pc3,0,0,3.5187495,7.0666823,-3.32232101530636,2.0856432459566383
161,c1ccc(P(c2ccccc2)C2CCCC2)cc1,pc3,0,0,3.5065823,7.5674334,-3.3364508342528283,2.138711336045485
162,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,pc3,0,0,3.6101158,7.2578297,-2.2348886718202863,1.8915420858393472
163,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2)c(C)c1,pc3,0,0,4.8570175,4.438658,3.657742800804184,7.281545633172417
164,CC(C)c1cc(C(C)C)cc(P(c2cc(C(C)C)cc(C(C)C)c2)C2CCCC2)c1,pc3,0,0,5.870911,9.537349,3.9050694122791696,-0.0399306790162666
165,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)C2CCCC2)c1,pc3,0,0,4.41422,8.968823,-0.5032173682623102,1.726486543984856
166,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C2CCCC2)cc(C(F)(F)F)c1,pc3,0,0,3.2195814,10.684443,2.046234940432807,-1.960390150466992
167,c1ccc(P(CC2CCCC2)c2ccccc2)cc1,pc3,0,0,3.917266,7.1577578,-1.5630239290829848,0.0637930063844389
168,COc1ccc(P(c2ccc(OC)cc2)C2CCCCC2)cc1,pc3,0,0,5.205763,10.711446,1.4638070953237676,-2.232212214598238
169,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C(C)(C)C)cc(C(C)(C)C)c1,pc3,0,0,5.807636,9.679649,5.337851361246626,2.460319555176928
170,CC(C)(C)c1cc(P(CC2CCCC2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc(C(C)(C)C)c1,pc3,0,0,5.961227,9.45679,6.482300673591364,-1.8070232950997045
171,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(C3CCCCC3)C3CCCCC3)c2)c(C(C)C)c1,pc3,0,0,6.846383,9.569906,15.37156273085285,-3.707685539386736
172,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(CC3CCCC3)CC3CCCC3)c2)c(C(C)C)c1,pc3,0,0,6.9049816,9.578497,15.89408297647532,-6.425764382493832
173,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(CC3CCCCC3)CC3CCCCC3)c2)c(C(C)C)c1,pc3,0,0,6.9477267,9.557847,16.43667075846463,-6.54057664088186
174,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(C(C)C)C(C)C)c2)c(C(C)C)c1,pc3,0,0,6.839844,9.581039,12.840518292661166,-3.635756254254056
175,COc1ccc(P(C2CCCC2)C2CCCC2)cc1,pc3,0,0,3.535387,7.0103536,-0.9711862715804516,-0.1078510299062589
176,CC(C)(C)c1cc(C(C)(C)C)c(-c2cc(-c3c(C(C)(C)C)cc(C(C)(C)C)cc3C(C)(C)C)cc(P(C3CCCC3)C3CCCC3)c2)c(C(C)(C)C)c1,pc3,0,0,6.889286,9.560701,17.313371727458506,-5.67129753666841
177,c1ccc2c(P(C3CCCC3)C3CCCC3)c3ccccc3cc2c1,pc3,0,0,5.0296097,7.526115,5.355261408223517,2.323941533254454
178,c1ccc2c(c1)cc(-c1cc(-c3cc4ccccc4c4ccccc34)cc(P(C3CCCC3)C3CCCC3)c1)c1ccccc12,pc3,0,0,6.7990513,9.390027,14.085202511335622,-7.806007676281729
179,Cc1ccccc1P(c1ccccc1C)C1CCCCC1,pc3,0,0,3.6216648,6.779302,0.4232371425704362,3.4780147014266065
180,Cc1cc(C)c(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C2CCCC2)c(C)c1,pc3,0,0,6.0355334,9.265058,5.322446483149092,1.1079549049307928
181,CC(C)P(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,pc3,0,0,5.798642,9.719659,3.622164234568362,1.3750111390394548
